Source,Target,Weight
32356864,16587283,1
47844713,13384052,1
26820798,20929025,2
40823322,40765298,2
41881900,3342055,1
57350423,40037231,1
10453902,10097543,4
39006903,39003227,1
10097543,10453902,5
19745004,1424470,1
596892,997338,5
51614692,27612781,1
37500192,24063576,1
36891867,14089735,1
20580498,23272510,3
23652126,2504560,1
10041891,45589754,1
46716359,7833168,1
34138622,33655535,1
6498492,15073130,1
30972886,858127,1
24690303,61014987,1
41881900,45036984,9
47852032,32836701,3
1446467,13414105,1
18609427,6644973,1
31404632,53558755,1
51914365,31315021,1
10270250,24560307,1
62728051,42417822,1
584410,36818673,1
38558578,9384267,1
206084,53238813,5
17728164,23096959,1
943149,37082871,3
8100370,27193779,2
41881900,47515815,6
22442668,28366058,6
11452538,6838921,1
10805187,62450795,2
36661850,481872,1
39722512,35120039,1
53238813,4106792,2
63616998,42875638,3
41881900,41443539,2
12034070,1217614,1
41692693,3623050,1
29891188,35520634,1
6248645,6235174,1
1064563,27729926,1
400664,54443617,1
41881900,60630844,27
8514,494159,1
41458519,20580498,2
50691713,51507157,1
56841883,321278,2
29893472,671825,2
61622867,15514912,1
15514912,61622867,1
15045751,7691631,3
9325315,10126908,3
40765298,40823322,2
56764583,12004006,1
7760890,3301400,2
44770441,57363293,2
59028028,55768463,1
184460,5152372,2
20580498,20653934,3
48006145,14089735,1
3623050,53238813,4
16563587,48004987,2
48004987,20580498,1
22119747,7691631,1
1864233,1864194,19
62450795,10805187,1
28782747,858127,2
58574577,33202667,1
3504505,3504464,2
658518,1385122,2
31046054,7691631,2
14791963,7044114,1
7044114,14791963,1
51710581,3604157,2
43790903,62367558,1
7691631,19360616,1
7691631,54503347,4
7691631,46089560,5
12136863,11931032,1
33524486,7613257,2
16147933,18609427,2
34885279,34546968,1
51478266,20580498,10
1801829,42467001,4
45717250,20773773,8
53981347,20580498,2
31189240,39105423,1
390510,13258039,1
32215970,20929025,1
16316451,56533838,2
15799524,45489191,2
36960321,7691631,3
36953657,40667593,2
9992330,12310030,1
41930235,39293824,1
37144575,39487546,7
6664047,8402497,1
30379674,4164482,1
41092776,60257626,1
18741313,14089735,1
45717250,45557469,3
16180304,36371959,10
8966356,481872,1
29675401,31492490,4
4580780,1283503,4
54503347,26509369,1
45864773,9992330,1
27099840,2436255,1
34891719,17163720,2
51344082,465681,2
11730342,24700171,2
41881900,84822,3
56260598,5694513,4
5875030,16256144,1
28312955,12888993,5
65231124,51951003,1
66831879,60206172,1
12646044,4297273,3
49598840,36960293,12
12928435,13521137,3
47903333,24195339,2
58817363,65252,1
23096959,10443324,6
10443324,23096959,4
60374819,39586505,2
6296790,53330030,1
37717474,29891188,15
37717474,35520634,1
36420691,42713185,4
5532320,25003905,1
25003905,5532320,1
5069237,930571,1
8135462,40704717,7
7691631,20415251,1
34880993,39903075,3
2113067,525316,1
44203721,32787174,1
36817565,33861747,1
64396357,321278,1
64396357,9325315,1
35312458,46636443,1
641512,657061,2
60733574,42652796,4
26142080,2081289,4
39487546,31670053,7
65057475,33767206,2
38962730,33767206,1
33653601,1254497,1
43445823,41029840,12
60630844,41881900,4
32202720,12888993,3
38431663,23357588,4
23681676,9603889,1
45259073,3301400,1
20580498,321278,1
11369603,17912002,1
37489525,21244505,1
41690093,45687347,1
1409544,168370,1
21052744,6296790,1
61749868,23325575,2
597114,44999898,4
26567889,26567881,1
46805578,12256376,4
658518,33655535,1
42652796,60733574,8
30892477,35395056,1
49213884,55796146,3
11753734,25738703,1
26567881,4287066,2
28061901,2556327,1
14338121,4297273,4
19117456,29028775,1
44639329,45704630,5
658518,33653601,5
62056780,65561709,3
20980012,49086513,1
203666,52039406,1
53356367,61739430,12
24604008,31696383,1
64242653,40403310,1
24474138,321278,1
7206131,1283503,1
29207621,23096959,2
44626250,29028775,2
27279174,50063252,1
5860736,25494512,1
44999898,597114,4
41095157,11672345,1
52305585,23096959,1
18068542,1254497,1
45231310,26192117,1
657061,641512,1
8763604,4989235,2
16542494,16346380,30
53745720,20929025,2
28283593,7691631,2
26567881,26567889,2
5187096,27193779,1
10455073,10097543,1
11116372,321278,2
729744,671825,6
60750744,20580498,9
17928207,46297649,2
33202667,59032561,1
14303048,3629537,2
58154377,23096959,1
19608522,23096959,2
19608522,16563587,1
11589713,45704630,3
596892,28710753,1
36891867,27193779,1
2006876,19390712,3
24195339,504220,1
16563587,27729907,7
38492553,38492041,1
5694513,56260598,1
13221727,858127,2
37791069,7530802,1
47622864,21433270,2
58331146,56723754,1
16008423,65057475,1
168370,1323072,1
49475012,44838949,11
56087776,9384267,1
8474136,1451352,1
12004006,6938835,1
4619701,24063576,1
18088846,61755229,1
52039406,20698341,1
52630616,32247847,1
18503721,29028775,4
35446456,943149,5
5839692,3678731,3
23357588,38431663,1
203666,45206013,4
507775,14845405,2
48599462,42006308,1
2014929,54980593,1
4128353,3319769,6
48181728,39487546,2
41194255,14089735,2
55504627,20580498,3
13653550,4007018,2
31481403,10066825,2
33389183,597114,1
63356659,1446467,1
10097543,52083467,3
24474138,24474126,3
24474138,3638964,41
59469085,61812065,1
23697630,52083467,3
24612415,9305004,1
41730120,3678731,2
41359055,29028775,1
50715237,5532320,1
39554400,5250457,1
64144369,48496835,1
66732969,66712801,1
11225014,16563587,1
3678731,27193779,1
35210580,36817565,2
6764581,764708,2
65386900,16425042,1
65386900,25003905,1
20773773,45717250,2
35951404,56664051,1
24474126,24474138,6
36960293,7691631,2
3038446,7786818,2
47576910,29605985,1
50489089,47903333,2
64340188,5806776,2
29099181,9384267,1
7691631,31046054,27
33861747,36817565,2
1038468,168370,1
63020164,60807171,2
23986910,17812682,1
10981994,21741891,1
65773158,54980593,1
20929025,44774566,8
63090054,63089994,1
15280279,25887611,1
11617504,46835599,3
20580498,40686014,8
24894889,168370,1
66377221,32935745,3
50859563,50258379,1
24891661,843222,1
24891661,654608,1
43515791,10443324,1
24195339,49016322,2
17714713,17689377,2
60561834,5550567,1
33489346,4766638,1
41881900,42534055,5
62168035,21280081,1
19606628,32654500,1
38765967,27504653,2
3623050,52855516,2
51556828,31046054,1
27981533,7760890,4
28283593,21591001,1
34659664,9998516,1
9568894,37489525,2
46716359,47132986,1
20989983,9384267,1
65158310,47394776,1
60832323,19036577,1
2890627,2750721,1
11931032,1181927,1
54102761,32935745,6
19467101,1272129,2
41829476,16008423,1
39105425,10270250,2
23766683,33791453,1
34659664,7691631,2
36612050,31686207,2
6228403,6228378,2
36376183,11167738,1
36953657,1917262,4
43964563,9384267,4
63730796,64970925,1
33202667,44252317,3
43690238,48440279,1
27434724,2191449,3
10270250,29028775,1
57418316,132108,2
24841635,3678731,1
15846674,11061773,3
43984019,2034023,1
1254797,8514,1
1254797,308770,1
507775,1064563,4
40841283,25273785,1
29028775,15062869,1
32023078,21233191,2
13937936,13124802,3
32935745,54102761,1
54503347,7691631,9
29220809,41829476,1
4106792,5191883,2
5347074,5839692,1
41690081,45687347,2
22841302,7691631,3
22442668,40686014,2
17728164,22855240,5
15309233,4287066,3
21347346,29137950,4
30892477,33655535,1
5405905,5069237,2
64255423,33202667,1
671825,52261708,1
21233191,32023078,1
48007294,41458519,2
51117837,20773773,2
34070601,5532320,2
32191748,14089735,1
20580498,44350607,1
1431547,117741,3
43256426,36891867,1
16346380,60115647,1
47632525,20287787,1
50304279,60630844,3
8049897,21585053,5
45686574,12898486,2
7805144,488514,1
63761297,65095652,1
43830328,30162008,1
30162008,43830328,1
34022240,33697675,2
55638412,16286131,1
55432988,24195339,1
35693455,2750721,2
168370,1038468,1
31696383,7053637,6
36371959,16180517,3
15221515,44979576,1
44689601,45793760,1
43615745,12256376,1
20929025,33742985,3
43543393,519832,1
1424470,4268140,1
51182505,51946237,1
17224514,62812779,1
56210635,211588,1
6908774,14791963,1
764708,3010630,1
42446930,40892817,1
56941978,9214768,1
1914329,23096959,1
55435270,27193779,4
1717192,488514,1
39406254,512332,1
63616998,26931359,1
42143408,59779880,1
37496521,9384267,1
997338,596892,6
44544444,32024077,1
18567587,11693709,1
15460666,3745077,1
38629282,8962829,2
6296790,22321368,1
45717250,50461701,1
40704717,44370739,1
43756635,34725861,1
60115618,60115785,1
60115618,60115647,1
54230994,20580498,2
59284953,42488903,1
27576132,2050163,1
39487546,22844864,2
2791179,2863909,2
1182756,2863909,1
43640830,29028775,1
28932001,18398494,2
36902910,35015510,1
858127,8357227,1
745456,12499251,1
39534835,4128353,2
5532320,34294743,2
4287066,26567881,1
53466975,12888993,1
37734226,9309093,1
50461701,45717250,3
36535156,46494071,1
40143886,4576305,14
15923295,41829476,1
30969188,3678731,2
52104368,16416867,3
21244924,25136308,1
42481664,24195339,7
19994257,23096959,6
32024077,11167738,4
14131914,3618133,1
9384267,46891997,2
27804716,27835638,1
26142147,41930235,9
13530047,16183015,2
36960293,54503347,12
19245490,10312708,1
46716359,18743342,1
557980,10187082,1
19816973,54678792,46
58153528,42875638,1
